67.38,67.38,65.85,66.6,1350051
66.67,66.79,65.75,66.11,1295479
66.25,66.49,65.65,65.82,922026
65.92,66.22,65.12,65.24,1427157
65.37,65.77,65.07,65.54,1507684
65.65,65.96,65,65.82,1145653
65.44,65.714,63.805,63.99,1556964
64.3,64.55,63.88,64.03,1462589
64.12,64.5,63.44,63.63,1223412
63.11,63.12,60.65,61.57,1808696
61.62,62.14,61.3,61.48,895576
61.39,61.54,60.37,60.73,953101
60.65,60.78,60.15,60.51,1506538
60.96,61.439,60.5,60.87,1396540
60.86,61.55,60.86,61.18,1376686
61.18,61.4,60.93,60.94,1163281
61.09,61.09,60.17,60.4,887554
60.71,61.18,58.94,59.17,1696408
59.4,59.91,59.04,59.76,1090583
59.76,59.9,58.81,59.15,1194254
59.3,59.44,57.78,58.15,1525970
58.19,58.41,57.37,57.48,1571587
57.45,57.72,57.04,57.64,1466682
57.74,57.77,56.82,56.83,784381
56.82,57,56,56.26,1423530
56.2,56.25,55.78,55.97,1558664
55.4,56.68,55.36,56.21,1810683
56.15,56.87,55.67,56.68,1564844
57,57.15,55.99,56.35,1142838
56.52,57.27,56.18,57.26,2351968
57.41,58.34,57.3,57.98,3019080
57.85,57.97,56.3,56.33,2299066
55.5,55.81,54.89,55.26,2470286
55.69,56.5799,55.5201,55.98,1913880
56.05,56.58,56.01,56.33,2396234
56.44,56.75,56.245,56.58,2163741
56.75,57.89,55.58,57.76,2936535
57.29,57.39,55.88,56.65,2621476
56.91,57.38,56.75,57.35,2615401
57.57,57.95,57.08,57.14,1728626
57.11,57.47,56.89,57.13,625098
57.12,57.584,57.11,57.26,1286356
57.27,57.51,56.85,57.24,1135809
57.17,57.98,57.17,57.69,1180327
57.74,57.93,57.12,57.28,1664275
56.95,57.219,56.43,56.82,1513084
57.03,57.105,56.63,56.79,1163080
57.67,58.66,57.134,58.2,2546754
58.19,58.53,57.5646,58.22,2504705
58.07,58.55,57.57,57.89,1887291
57.87,58.6,57.65,58.04,1488649
58.51,60.98,58.51,60.7,3116412
60.99,61.1,59.37,59.9,2836621
60.13,60.13,59.59,59.94,2041275
59.79,60.43,59.79,60.29,1692698
60.21,61.21,60.04,61.2,1839504
61.4,61.4599,60.55,60.96,2215642
61.25,61.86,61.01,61.8,2196197
61.8,62.24,61.4,61.64,2297886
61.27,61.64,61.27,61.47,1916037
61.37,61.87,61.16,61.39,2541051
61.55,62.16,61.36,61.36,1911131
61.47,62.16,61.46,61.82,1448694
61.3,61.97,61.06,61.6,1435385
62.03,62.595,61.76,61.83,1469087
61.33,62.7,61.24,62.39,2408847
62.46,62.476,61.33,61.55,1664311
61.7,62.1,61.48,61.99,1533747
61.85,62.153,61,61.54,1589292
61.55,62.08,61.36,61.8,1846953
61.97,62.18,61.39,61.94,1433514
62.06,63.04,61.85,62.95,1509929
62.81,62.91,61.92,62.63,1579449
62.55,62.62,61.63,61.78,1934873
61.51,62.84,61.5,62.6,1635347
62.7,63.1,60.79,61.52,2087901
61.51,61.61,60.42,61.42,1967244
61.31,62.795,61.23,61.91,1751682
61.95,62.49,60.92,61.15,1302170
61.13,61.49,60.53,60.62,2154227
60.75,62.44,60.75,61.71,2049083
61.82,62.13,61.34,61.49,1204334
61.78,62.2,61,61.94,1703467
61.99,62.575,61.93,62.44,1467808
62.44,62.71,62,62.43,2178445
62.01,62.89,62.01,62.79,1023164
63.38,63.74,63.08,63.67,1302124
62.98,63.08,62.42,63.03,1495143
62.99,63.145,61.86,61.97,1451635
61.85,61.87,60.09,60.5,2658300
60.51,60.65,60.02,60.51,1521160
60.56,61.43,60.46,61.16,1256256
61.13,61.88,61,61.21,1072904
61.36,61.36,60.45,60.48,1298575
60.48,61.32,60.44,60.76,1088948
60.99,61.19,60.34,60.62,754288
60.48,60.93,60.26,60.89,1171290
61.04,61.14,58.65,58.92,2093015
58.78,59.21,58.4,59.12,1372464
59.53,59.68,58.79,59.63,2264368
59.83,59.8899,59.01,59.4,1106988
59.81,60.27,59.33,60.06,1063030
60.63,60.74,59.33,59.38,1375291
59.31,60.14,59,59.94,943672
60.17,60.63,60.04,60.36,1007078
60.77,60.82,60.01,60.57,1535703
60.62,61.42,60.38,61.39,1245486
61.2,61.86,61,61.29,1327602
61.35,61.55,60.82,61.4,703318
61.64,62.49,61.39,61.99,1499892
61.87,63.45,61.87,63,2164940
63.16,64.08,62.98,64.01,1633800
64.06,64.14,63.56,63.6,1688673
63.6,64.13,63.01,63.13,1714845
63.05,63.81,62.58,63.15,2517757
63.45,64.19,63.13,64.18,2325659
